Zeitstempel,Ich bin...,ich esse...,(Falls du keinen Fisch isst) Ich esse keinen Fisch aus...,Wie oft isst du Fisch?,"Könntest du dir vorstellen, vollständig auf Fisch zu verzichten?",Wo kaufst du deinen Fisch?,Achtest du auf das Fanggebiet und die Fangmethode in dem/ mit der dein Fisch gefangen wurde?,"Würdest du dich eher für einen Fisch entscheiden, wenn dieser mit diesen o.ä. Zertifikaten beschriftet wurde?",Fühlst du dich ausreichend über die Folgen von kommerzieller Fischerei aufgeklärt?
20.03.2022 11:40:00,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:08:31,unter 25 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:09:14,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:14:45,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Ich kaufe keinen Fisch,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:17:21,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:17:39,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:17:52,unter 25 Jahre alt,Nur Fisch,,Wöchentlich,Ja,Discounter,Ja,Ja,Ja
20.03.2022 12:19:24,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:19:29,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Bioladen,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:19:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:19:38,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:20:58,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:21:55,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 12:22:01,unter 25 Jahre alt,Nur Fisch,,Mehrmals in der Woche,Nein,Bioladen,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:23:24,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:23:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:23:44,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:24:07,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Bioladen,Nein,Ja,Ja
20.03.2022 12:24:44,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 12:25:05,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Wochenmarkt,Nein,Ja,Ja
20.03.2022 12:29:37,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:30:12,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:31:27,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Wochenmarkt,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:31:48,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Nein,Ja,Ja
20.03.2022 12:32:17,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:35:17,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:36:34,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Ich kaufe keinen Fisch,Ja,Nein,Ja
20.03.2022 12:39:01,unter 25 Jahre alt,Nur Fisch,,Monatlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:40:35,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:41:31,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Bioladen,Nein,Nein,Ja
20.03.2022 12:44:38,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:49:19,unter 25 Jahre alt,Fisch und Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Monatlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:49:34,über 50 Jahre alt,Weder Fisch noch Fleisch,Geschmacklichen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:50:37,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:53:32,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 12:54:23,unter 25 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 12:57:39,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 13:01:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:09:09,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:09:49,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:13:38,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Bioladen,Ja,Ja,Ja
20.03.2022 13:14:02,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 13:26:50,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:27:35,unter 25 Jahre alt,Weder Fisch noch Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:31:06,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 13:37:00,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:43:02,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 13:46:08,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 13:51:57,über 50 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Mehrmals in der Woche,Nein,Ich kaufe keinen Fisch,Ja,Nein,Ja
20.03.2022 14:15:35,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 14:23:09,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 14:25:54,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Ich kaufe keinen Fisch,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 15:01:37,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 15:08:29,über 50 Jahre alt,Fisch und Fleisch,,Mehrmals in der Woche,Nein,Bioladen,Ja,Ja,Ja
20.03.2022 15:20:49,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Mehrmals in der Woche,Nein,Discounter,Ja,Ja,Ja
20.03.2022 15:26:44,zwischen 25 und 50 Jahre alt,Nur Fisch,,Monatlich,Ja,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 15:35:13,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 15:59:02,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 16:33:58,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 16:36:16,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 16:41:36,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Wochenmarkt,Ja,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 16:50:20,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 17:12:27,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Bioladen,Ja,Ja,Ja
20.03.2022 17:21:32,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 17:23:12,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 17:29:14,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 17:31:15,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 17:37:52,über 50 Jahre alt,Fisch und Fleisch,,Mehrmals in der Woche,Nein,Discounter,Ja,Ja,Ja
20.03.2022 17:38:14,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Bioladen,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 17:59:07,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Ja,Ja,Ja
20.03.2022 18:12:38,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 18:15:57,zwischen 25 und 50 Jahre alt,Nur Fisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 18:24:06,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 18:24:48,über 50 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 18:25:44,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Bioladen,Ja,Ja,Ja
20.03.2022 18:28:55,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Wochenmarkt,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 18:39:13,unter 25 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 18:45:33,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 18:55:49,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 19:06:44,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 19:07:36,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Bioladen,Nein,Ja,Ja
20.03.2022 19:50:27,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 19:52:58,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Bioladen,Ja,Ja,Ja
20.03.2022 19:55:26,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 19:56:21,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Wochenmarkt,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 19:57:48,unter 25 Jahre alt,Fisch und Fleisch,,Mehrmals in der Woche,Nein,Wochenmarkt,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 20:03:55,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 20:06:10,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 20:07:06,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Ja,Discounter,Ja,Ja,Ja
20.03.2022 20:07:50,über 50 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Mehrmals in der Woche,Nein,Ich kaufe keinen Fisch,Nein,Nein,Ja
20.03.2022 20:09:24,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 20:12:03,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Bioladen,Nein,Nein,Ja
20.03.2022 20:13:28,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 20:16:23,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Ja,Ja,Ja
20.03.2022 20:18:28,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Ja,Nein,Ja
20.03.2022 20:18:40,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Wochenmarkt,Ja,Nein,Ja
20.03.2022 20:18:55,über 50 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Wochenmarkt,Ja,Ja,Ja
20.03.2022 20:19:28,über 50 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 20:22:04,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 20:31:40,über 50 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 21:05:48,über 50 Jahre alt,Weder Fisch noch Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
20.03.2022 21:12:26,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Wochenmarkt,Nein,Ja,Ja
20.03.2022 21:20:25,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 21:30:39,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 21:32:16,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Ich kaufe keinen Fisch,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 21:55:37,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 21:56:54,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 22:07:25,über 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Ja,Ja,Ja
20.03.2022 22:54:34,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 22:55:05,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
20.03.2022 23:03:26,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Ja,Ja,Ja
20.03.2022 23:03:59,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Ja,Ja
20.03.2022 23:04:17,über 50 Jahre alt,Nur Fleisch,Anderen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
20.03.2022 23:11:55,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 01:21:49,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Ja,Nein,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 07:20:51,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 07:22:48,über 50 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Bioladen,Nein,Ja,Ja
21.03.2022 08:12:01,unter 25 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 08:15:30,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Bioladen,Ja,Ja,Ja
21.03.2022 08:15:31,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Discounter,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 09:15:25,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Discounter,Nein,Nein,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 10:38:06,unter 25 Jahre alt,Nur Fleisch,Geschmacklichen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Ja
21.03.2022 10:51:37,zwischen 25 und 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Nein,Wochenmarkt,Nein,Ja,Ja
21.03.2022 12:29:35,unter 25 Jahre alt,Weder Fisch noch Fleisch,Anderen Gründen,Niemals,Ja,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Nein,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 12:47:48,über 50 Jahre alt,Fisch und Fleisch,,Wöchentlich,Ja,Wochenmarkt,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 14:51:19,unter 25 Jahre alt,Fisch und Fleisch,,Ein paar Mal im Jahr (z.B. an besonderen Anlässen),Ja,Ich kaufe keinen Fisch,Nein,Ja,Nein/ Ich kenne die Bedeutung nicht
21.03.2022 14:51:24,unter 25 Jahre alt,Nur Fleisch,Nachhaltigkeits- bzw. Ökologischen Gründen,Niemals,Tue ich schon,Ich kaufe keinen Fisch,Ich kaufe keinen Fisch,Ja,Ja
21.03.2022 15:00:08,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Bioladen,Ja,Ja,Ja
21.03.2022 20:17:08,unter 25 Jahre alt,Fisch und Fleisch,,Monatlich,Nein,Bioladen,Ja,Ja,Nein/ Ich kenne die Bedeutung nicht